ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
C1;4.7p;~;;;;;;;;
C2;4.7p;~;;;;;;;;
C3;3.3u;~;;;;;;;;
C4;1u;~;;;;;;;;
C5;100n;~;;;;;;;;
C6;1u;~;;;;;;;;
C7;100n;~;;;;;;;;
C8;100n;~;;;;;;;;
C9;100n;~;;;;;;;;
C10;6.8p;~;;;;;;;;
C11;100n;~;;;;;;;;
C12;6.8p;~;;;;;;;;
C13;10u;~;;;;;;;;
C14;330p;~;;;;;;;;
C15;1u;~;;;;;;;;
C16;4.7u;~;;;;;;;;
C17;100n;~;;;;;;;;
C18;220p;~;;;;;;;;
C19;1n;~;;;;;;;;
C20;4.7u;~;;;;;;;;
C21;4.7u;~;;;;;;;;
C29;100n;~;;;;;;;;
C32;4u7;~;;;;;;;;
CON1;SWD;;;;;;;;;
D1;DIODE;~;;;;;;;;
D2;DIODE;~;;;;;;;;
D3;DIODESCH;~;;;;;;;;
D4;DIODE;~;;;;;;;;
D10;LED;~;;;;;;;;
D11;LED;~;;;;;;;;
D12;LED;~;;;;;;;;
D13;LED;~;;;;;;;;
IC1;LD1117S33;~;;;;;;;;
JP1;JUMPER;~;;;;;;;;
L1;10u;~;;;;;;;;
L2;fcm1608;~;;;;;;;;
P1;CONN_4;~;;;;;;;;
R1;0;~;;;;;;;;
R2;0;~;;;;;;;;
R3;47;~;;;;;;;;
R4;10k;~;;;;;;;;
R5;510;~;;;;;;;;
R6;0;~;;;;;;;;
R7;0;~;;;;;;;;
R8;1000k;~;;;;;;;;
R9;976;~;;;;;;;;
R10;8.66k;~;;;;;;;;
R15;1k;~;;;;;;;;
R35;510;~;;;;;;;;
R36;510;~;;;;;;;;
R37;680;~;;;;;;;;
R38;680;~;;;;;;;;
SW2;SW_PUSH;~;;;;;;;;
U1;STM32F105R8;~;;;;;;;;
U2;LMR62014X;;;;;;;;;
U3;TJA1027;;;;;;;;;
U4;TJA1027;;;;;;;;;
U6;ARDUINO_UNO_R3_EX;~;;;;;;;;
X1;16 MHz;~;;;;;;;;
X2;32.768 kHz;~;;;;;;;;
